plane u v typecode idx captureblock slink captureblockidx fedid zside
1 -10 -7 ML-T3W 3 1 1 0 290 -1
1 -10 -6 ML-53W 5 0 0 0 301 -1
1 -10 -5 ML-R3W 7 0 0 0 301 -1
1 -10 -4 ML-53W 8 0 0 0 301 -1
1 -10 -3 ML-B3W 2 1 1 0 338 -1
1 -9 -8 ML-T3W 6 0 0 0 289 -1
1 -9 -7 ML-F3W 10 0 0 0 289 -1
1 -9 -6 ML-F3W 2 1 1 0 290 -1
1 -9 -5 ML-F3W 4 0 0 0 301 -1
1 -9 -4 ML-F3W 6 0 0 0 301 -1
1 -9 -3 ML-F3W 1 1 1 0 338 -1
1 -9 -2 ML-F3W 7 1 1 0 290 -1
1 -9 -1 ML-F3W 11 1 1 0 290 -1
1 -8 -9 ML-F3W 11 1 1 0 398 -1
1 -8 -8 ML-F3W 10 0 0 0 445 -1
1 -8 -7 ML-F3W 5 0 0 0 289 -1
1 -8 -6 ML-F3W 9 0 0 0 289 -1
1 -8 -5 ML-F3W 1 1 1 0 290 -1
1 -8 -4 ML-F3W 3 0 0 0 301 -1
1 -8 -3 ML-F3W 0 1 1 0 338 -1
1 -8 -2 ML-F3W 6 1 1 0 290 -1
1 -8 -1 ML-F3W 10 1 1 0 290 -1
1 -8 0 ML-F3W 10 0 0 0 337 -1
1 -8 1 ML-T3W 6 0 0 0 205 -1
1 -7 -10 ML-B3W 2 1 1 0 446 -1
1 -7 -9 ML-F3W 7 1 1 0 398 -1
1 -7 -8 ML-F3W 10 1 1 0 398 -1
1 -7 -7 ML-F3W 9 0 0 0 445 -1
1 -7 -6 ML-F3W 4 0 0 0 289 -1
1 -7 -5 ML-F3W 8 0 0 0 289 -1
1 -7 -4 ML-F3W 0 1 1 0 290 -1
1 -7 -3 ML-F3W 11 0 0 0 337 -1
1 -7 -2 ML-F3W 5 1 1 0 290 -1
1 -7 -1 ML-F3W 9 1 1 0 290 -1
1 -7 0 ML-F3W 9 0 0 0 337 -1
1 -7 1 ML-F3W 5 0 0 0 205 -1
1 -7 2 ML-F3W 10 0 0 0 205 -1
1 -7 3 ML-T3W 3 1 1 0 206 -1
